NOM DE LA BIBLIOTHEQUE,ADRESSE PHYSIQUE,CP,COMMUNE,TELEPHONE,ADRESSE MAIL,HORAIRES D_OUVERTURE,lat,long
"BIBLIOTHEQUE INTERCOMMUNALE ""La Mine du Livre""",8 rue des Ecoles  ,44170,ABBARETZ,02.40.87.21.84,bibliotheque.abbaretz@orange.fr,Me 10h30-12h  V. 16h30-18h30 ,47.548679,-1.532216
BIBLIOTHEQUE,24 avenue des Acacias,44140,AIGREFEUILLE SUR MAINE,,biblio.aigrefeuille@gmail.com,Mer 10h-12h   S. 10h-12h,47.07872,-1.405909
"MEDIATHEQUE ""La Pléiade""",Place de la République,44150,ANCENIS,02.40.83.22.30,mediathequeancenis@yahoo.fr,"Ma 14h-18h  Mer 10h-18h    J. 10h-13h
V. 14h-18h    S. 10h-18h",47.3647,-1.183289
"BIBLIOTHEQUE ""Marcel Rouvreau""",Impasse des Sports,44150,ANETZ,02.40.83.31.95,bibliotheque-anetz@wanadoo.fr,Me 10h-12h/15h-18h   V. 17h-18h30   S. 10h-12h   D. 10h30-11h30,47.381945,-1.103324
BIBLIOTHEQUE MUNICIPALE,Mairie,44320,ARTHON EN RETZ,09.80.59.25.65,,Mer 9h30-11h30   S. 10h-11h30   D. 11h-11h30,47.119515,-1.956273
BIBLIOTHEQUE MUNICIPALE,Mairie,44320,ARTHON EN RETZ - LA SICAUDAIS,,,Mer 10h-12h   S. 11h-12h30   ,47.205706,-2.044069
"BIBLIOTHEQUE ""Le Pré aux livres""",Rue de la Fontaine,44410,ASSERAC,02.40.01.72.86,bibliotheque.asserac@orange.fr,Mer 10h-12h/16h30-18h30  V. 16h30/18h30  S. 10h-12h ,47.4303,-2.391894
BIBLIOTHEQUE MUNICIPALE,24 rue de Plessé ,44460,AVESSAC,02.99.91.00.97,bibliotheque.avessac@orange.fr,Ma 16h30-18h   Mer 14h30-18h  J.16h30-18h45   S. 10h-12h30,47.652175,-1.986671
BIBLIOTHEQUE MUNICIPALE,5 rue des Landes,44450,BARBECHAT,02.51.79.74.08,,Me 16h30-18h30 (2e et 4e)   S. 10h45-12h (1er et 3e)   D. 11h-12h,47.276978,-1.290546
"MEDIATHEQUE ""René Guy Cadou""",Place de la Chantrie,44115,BASSE GOULAINE,02.40.06.00.22,mediatheque@basse-goulaine.fr,Ma  16h-18h30   Mer 10h-12h/14-18h   J. 16h-18h30  V. 16h-18h30   S. 10h-12h/14h-17h,47.216015,-1.465625
BIBLIOTHEQUE INTERCOMMUNALE DE LA COTE SAUVAGE,11 rue de la Plage,44740,BATZ SUR MER,02.40.23.89.51,bicsbatz@wanadoo.fr,L. 10h-12h  Ma 16h-18h30   Mer 10h-12h30  V. 16h-18h30   S. 14h30-17h,47.276853,-2.480827
"BIBLIOTHEQUE ""Les Belles lignes""",7 rue de l'Océane ,44370,BELLIGNE,02.40.96.90.70,biblio.belligne@orange.fr,"Ma 16h30-18h30  
Mer 10h-12h/14h30-18h  V. 16h30-18h30  S. 10h-12h   D. 10h30-12h",47.46521,-1.034329
BIBLIOCLUB,3 chaussée du Pays de Retz ,44760,BERNERIE EN RETZ (LA),02.51.74.68.47,biblio.club@wanadoo.fr,"Ma 10h-12h/16h30-17h30    Mer 10h-12h  
V. 10h-12h   S. 10h-12h/15h-18h",47.0805936,-2.0361654
"MEDIATHEQUE MUNICIPALE ""George Sand""",25 rue de la Mairie,44160,BESNE,02.40.61.76.35,bibliotheque.besne@wanadoo.fr,Ma 15h-18h  Me 10h-12h30/15h-18h   V. 15h-18h   S. 10h-12h30,47.396263,-2.092172
