"NOM_DU_CINEMA","ADRESSE","CP","COMMUNE","SITE_INTERNET","LATITUDE","LONGITUDE"
"Cinéma Le Montagnard","Place Similien Guérin",44620,"La Montagne","http://lemontagnard.cine.allocine.fr/",47.1884883,-1.6836739
"Le Hublot","Place Dinan",44490,"Le Croisic","www.cinemahublot.com",47.2930097,-2.5095419
"Gaumont Nantes","12, place du commerce",44000,"Nantes","www.cinemasgaumontpathe.com",47.2133267,-1.5574897
"Cinéma Le Beaulieu","26, rue de Beaulieu",44340,"Bouguenais","www.cinemalebeaulieu.com",47.1782903,-1.6248557
"Cinéma Eden","67, rue Saint-Fiacre",44150,"Ancenis","www.cineeden.com",47.3656875,-1.1841246
"Cinéma Le Connétable","1 cours des Marches de Bretagne",44190,"Clisson","http://www.cinema-leconnetable.fr/",47.0864509,-1.280468
"Katorza","3, rue Corneille",44000,"Nantes","www.katorza.fr",47.2136078,-1.5625501
"Salle Jacques Tati","33, boulevard Victor Hugo",44603,"Saint-Nazaire","www.letheatre-saintnazaire.fr",47.2807248,-2.2163867
"L'Odéon","7, place de l'Eglise",44290,"Guémené-Penfao",,47.6302765,-1.8326347
"Cinéma Saint-Gilles","54, rue de Verdun",44210,"Pornic",,47.1193374,-2.1010742
"Cinéma Atlantic","Place des anciens combattants",44420,"La Turballe","www.reperages.biz",47.348472,-2.511759
"Ciné Malouine","Rue Aristide Briand",44550,"Saint-Malô-de-Guersac","www.cinemalouine.a3w.fr",47.353027999,-2.1754478
"Cinéville","Rue Marie Curie",44230,"Saint-Sébastien sur Loire","www.cineville.fr",47.1896137,-1.4851055
"Montluc Cinéma","Rue Chauvin de la Musse",44360,"Saint-Etienne-de-Montluc","www.montluc-cinema.weebly.com",47.2757012,-1.7795501
"Ciné Vaillant","12, rue du Général De Gaulle",44120,"Vertou","www.cinevaillant.com",47.1675021,-1.4696791999
"Saint-Joseph","14, rue Notre-Dame",44210,"Sainte-Marie-sur-Mer",,47.1142605999,-2.1279528
"Gulf Stream","52, avenue du Général De Gaulle",44500,"La Baule",,47.2837292,-2.3918934
"Ciné Pole Sud","Route de Clisson",44115,"Basse-Goulaine","www.cinepolesud.fr",47.1851988,-1.4483186
"Cinéma Pax","5, rue Maréchal Joffre",44510,"Le Pouliguen","www.reperages.biz",47.2760547,-2.429844
"Ciné Phil","Rue de la cure",44310,"Saint-Philbert-de-Grandlieu","www.cinephil.fr",47.034876,-1.6420699
"Cinéma Saint-Laurent","9, rue du 11 novembre",44130,"Blain","www.cineblain.fr",47.4763785,-1.7639012
"La Bobine","6, place de la gare",44160,"Pontchâteau",,47.4359066,-2.0885025
"Cinéma Saint-Michel","20, rue du Redois",44730,"Saint-Michel Chef Chef",,47.1809564,-2.1500492
"Ciné Loroux","Rue de la Liotterie",44430,"Le Loroux-Bottereau","http://pagesperso-orange.fr/cineloroux",47.2363295,-1.3487288
"Cinéma Jeanne d'Arc","15, rue de la mer",44760,"La Bernerie en Retz",,47.0796364,-2.0391846
"Cinéma Bonne-Garde","20, rue du frère Louis",44200,"Nantes","www.cinebonnegarde.ift.fr",47.1952762,-1.5383884
"Espace Culturel","Rue Gabriel Deshayes",44530,"Saint-Gildas des Bois",,47.5153946,-2.0404892
"Lutétia","18, rue des calvaires",44800,"Saint-Herblain",,47.2140196,-1.6493339
"Cinéville","5, boulevard de la Légion d'Honneur - BP 408",44600,"Saint-Nazaire","www.cineville.fr",47.2750611,-2.203853
"Ciné Presqu'île","3, avenue Anne de Bretagne",44350,"Guérande",,47.3316132,-2.4281512
"Le Nozek","Rue de la gare",44170,"Nozay","www.nozay44.com/lenozek",47.5548136,-1.5253859
"Cinéma Jacques Demy","11, rue du stade",44450,"La Chapelle-Basse-Mer","www.cinema-la-chapelle-basse-mer.fr",47.2700112,-1.3351477
"Atlantic Ciné","21, rue de la vernisserie",44110,"Châteaubriant","www.atlanticcine.com",47.7225637,-1.3772438
"Cinéma Paradiso","24, boulevard de la gare - BP 14",44390,"Nort-sur-Erdre","http://www.cinema-paradiso.asso.fr/",47.4411312,-1.5029358
"Cinéjade","Parc d'activité de la Guerche",44250,"Saint-Brévin-les-Pins","http://www.saint-brevin.fr/tourisme/cinema-cinejade.html",47.246659,-2.165807
"Cinéma Saint-Paul","38, rue Julien Douillard",44400,"Rezé","cinesaintpaul.free.fr",47.1839593,-1.5439873
"Espace Renaissance","1, rue Laënnec",44480,"Donges","www.ville-donges.fr",47.3469263,-2.5040451
"Pathé Atlantis","Allée de la Pérouse",44800,"Saint-Herblain","www.cinemasgaumontpathe.com",47.2225519,-1.6262387
"Cinéma Victoria","Rue Saint-Victor",44750,"Campbon","www.cinema-victoria44.ici.st/",47.411658,-1.96546
"Cinéma Le Cep","8, boulevard Evariste Dejoie",44330,"Vallet","www.cinemalecep.fr",47.1624427,-1.264214
"UGC Ciné Cité Atlantis","Place Jean Bart",44812,"Saint-Herblain","www.ugc.fr",47.2242998,-1.625475
"Cinéma Atlantique","Grande rue",44770,"Préfailles",,47.1285262,-2.2164049
"Cinéma Jeanne d'Arc","17, boulevard de la Ferronnays",44540,"Saint-Mars-la-Jaille","cinema.jeannedarc.free.fr/",47.5236939,-1.1875681
"Cinéma Concorde","79, boulevard Egalité",44100,"Nantes","www.leconcorde.fr",47.2111544,-1.5868273
"Cinémachecoul","23, rue des Capucins",44270,"Machecoul",,46.993228,-1.8235064
"Cinéma Le Gen'eric","Rue de l'océan - BP 6",44810,"Héric","http://www.cinema-generic.com/",47.415069,-1.6577089
