DATE_DEBUT;DATE_FIN;INTITULE_MANIFESTATION;ORGANISATEUR;DISCIPLINE;VILLE_DE_LA_MANIFESTATION;OBJET_DEMANDE;SUBVENTION
21/07/2012;;"Challenge Loire atlantique des courses hors stade
Foulées abbaroise";Comité des fête d'Abbaretz;Athlétisme;Abbaretz;Promotion ;
05/05/2012;06/05/2012;Tournoi de rugby Cadets à 7;Rugby Club Pays d'Ancenis;Rugby;Ancenis;Subvention ;3 000 €
17/05/2012;19/05/2012;Phases Finales Cadettes Coupe de France ;ASCED Riaillé;Volley;Ancenis;Subvention ;1 500 €
28/05/2012;;Tournois de foot jeunes;UNAF 44;Football;Ancenis;Promotion ;
02/06/2012;;"Tournoi jeunes rollers
ne sont pas venus récupérer dotation";PARS;Roller Skating;Ancenis;Promotion ;
03/06/2012;;Challenge nature loire ocean ;Athlétic club pays d'ancenis;athlétisme;Ancenis;Promotion ;
29/04/2012;;course cycliste;section cycliste d'Avessac;Cyclisme;Avessac;Promotion ;
27/05/2012;;Tournoi de foot;;Football;Avessac;Promotion ;
27/05/2012;28/05/2012;Championnat régional saut obstacle de poney et de clubs;Association Equestre Redon et ses Trois Rivières;Equitation;Avessac;Promotion ;
22/09/2012;;Trail d'Avessac;Association Trail d'Avessac;athlétisme;Avessac;Promotion ;
16/12/2012;;Cyclo cross Avessac;section cycliste d'Avessac;Cyclisme;Avessac;Promotion ;
03/05/2012;;Evènement ;Rugby Club Saint Sébastien Basse Goulaine;Rugby;Basse Goulaine;Promotion ;
10/06/2012;;Tournoi de rugby des moins de 7 et 9 ans;Club de rugby de st sébastien Basse Goulaine;Rugby;Basse Goulaine;Promotion ;
01/09/2012;;Tournoi de foot U11 U13 U15 U17;Football Club de Belligné;Football;Belligné;Promotion ;
17/05/2012;;Course cycliste ;Comité des fêtes ;Cyclisme;Bonnoeuvre;Promotion ;
28/04/2012;;"
6 h de roller de Bouaye

";Patineurs d'herbauges;Roller skating;Bouaye;Promotion ;
29/04/2012;;championnats départementaux piste;Patineurs d'herbauges;Roller skating;Bouaye;Promotion ;
11/11/2012;;Championnat département de cyclo cross;Association Bouaye cycliste Loisirs;Cyclisme;Bouaye;Promotion ;
13/05/2012;;Course nature Bouguenais (challenge nature loire ocean);Amicale Laïque;Athlétisme;Bouguenais;Promotion ;
17/05/2012;;Tournoi de volley 3*3 sur sable;club de volley de Bouguenais;Volley;Bouguenais;Promotion ;
26/05/2012;;Tournoi basket jeunes;ALCsection basket;Basket-Ball;Bouguenais;Promotion ;
09/06/2012;;Finales U15 rink hockey;ALCB section rink hockey;Rink hockey;Bouguenais;Promotion ;
27/10/2012;;Concours de carnassiers;la gaule nantaise;Pêche;Bourgneuf en retz;Promotion ;
26/08/2012;;Semi marathon de Boussay;amicale des sapeurs pompiers de Boussay;athlétisme;Boussay;Promotion ;
26/08/2012;;Challenge départemenatl des course hors stade Semi marathon de Boussay;amicale des sapeurs pompiers de Boussay;athlétisme;Boussay;Promotion ;
08/07/2012;;"Un Brain de nature
Challenge départemental des courses hors stade";Herbauges A C;Athlétisme;Brain;Promotion ;
08/05/2012;;Tournoi foot U10 à U13;Espérance de Campbon section football;Football;Campbon;Promotion ;
10/11/2012;;Championnat de France de Boxe;Campbon Boxing Club;Boxe;Campbon;Subvention ;3 500 €
08/01/2012;;Challenge Kid's roller;USJA Roller;Roller Skating;Carquefou;Promotion ;
21/01/2012;22/01/2012;Championnat de France de Rugby Handisport;Atlantique Rugby Fauteuil;Handisport;Carquefou;Subvention ;1 500 €
25/03/2012;;Carque…foulées;Carquefou Athlétique Club;Athlétisme;Carquefou;Promotion ;
05/05/2012;06/05/2012;Championnats de France de Tir à l'arc;compagnie des Archers Nantais;Tir à l'Arc;Carquefou;Subvention ;750 €
01/06/2012;;Meeting National d'Athlétisme;Carquefou Athlétique Club;Athlétisme;Carquefou;Subvention ;3 500 €
16/06/2012;;Tournoi de foot jeunes;USJA Carquefou;Football;Carquefou;Promotion ;
29/06/2012;;Triathlon jeunes de Carquefou;Triathlon atlantique Carquefou;Triathlon;Carquefou;Promotion ;
